Input 1,Input 2,Rolling Mean 1,Rolling Mean 2,RUL
1170.5906074006004,100375.1704780861,1151.597710853486,100823.5536157918,9
1178.7441688401657,99857.87673120972,1160.761212423638,100553.18363272394,8
1191.4475180590666,99735.60654225296,1170.9178227960133,100275.63469252262,7
1194.8434940856148,99037.75963415352,1179.373267353379,99926.07540457425,6
1207.507753391801,98862.62421298832,1188.6267083554496,99573.80751973813,5
1218.5894958207152,98653.01302679312,1198.2264860394728,99229.37602947952,4
1221.1141609973831,98224.83868381022,1206.700484470916,98902.76841999963,3
1225.458543079434,98029.86170094984,1213.5026894749894,98561.61945173901,2
1241.0261251773152,97532.12614944136,1222.7392156933297,98260.49275479656,1
1246.5943968500142,97351.93060422462,1230.5565443849723,97958.35403304383,0
1154.9680917102987,100075.31231725888,1141.6709699651199,100626.45526759647,14
1169.5185261923318,99906.15828824478,1149.4341403849462,100394.25963389648,13
1163.1522159972126,100463.65108012038,1145.9968716159833,100789.0693516729,13
1188.7524989886767,99765.28451647615,1160.3462496921297,100156.34656877269,12
1193.090094270379,99308.5887684644,1171.0155859142437,99891.09474983069,11
1196.8721371797255,99261.26674959966,1180.6402696682824,99663.32212800877,10
1202.4331896856008,98972.16731488275,1190.133289263343,99442.69312753355,9
1207.5210428054954,98712.54340478506,1197.7337925859756,99203.9701508416,8
1214.599114018693,98584.09491686504,1202.9031155919788,98967.73223091938,7
1219.4994219900452,98456.47625755002,1208.184981135912,98797.30972873651,6
1225.2555591333469,98301.25989369658,1213.8616655266362,98605.3083575559,5
1228.3391263465016,98191.52771803508,1219.0428528588163,98449.18043818636,4
1232.3522503175498,97994.87288714686,1224.0090943612272,98305.64633465871,3
1171.30213328659,100211.22307742036,1154.7857620860684,100617.84826488886,12
1241.0519860556328,97748.66940248072,1229.2996687686152,98138.56123178184,2
1247.7678868728046,97643.47710565323,1234.953361745167,97975.9614014025,1
1254.6226785103684,97268.8434701115,1240.8267856205716,97769.47811668548,0
1155.7779253224546,100168.22358014394,1144.0159707365524,100700.03548799656,12
1159.235111237653,99920.69551446829,1150.0497622088346,100443.46127372512,11
1176.7417350106869,100074.08843581408,1163.4365400204842,100438.23823324239,11
1162.540315929383,99763.03278749944,1154.777249569886,100170.14250837549,10
1176.5086782149858,99274.52974823148,1160.94884615685,99894.28823986763,9
1187.999614824498,98924.548599596,1168.412329105795,99610.20604598783,8
1194.7345283230886,98741.14130536842,1176.2036497059219,99324.78959103272,7
1202.6730381439186,98485.97748593702,1184.8912350871747,99037.84598532648,6
1209.2425946242497,98370.20635631713,1194.231690826148,98759.28069909001,5
1215.291987044178,98196.10601058688,1201.9883525919865,98543.59595156109,4
1178.9590167397575,99809.75472261242,1169.6303910489628,100225.84246053752,10
1225.279753401137,98071.97497074456,1209.4443803073143,98373.08122579081,3
1188.4381585682963,99582.96970531394,1175.7186519205086,100028.33740425624,9
1237.65357994812,97830.61825475574,1218.0281906323205,98190.97661566827,2
1200.2733162249567,99114.85456095512,1183.1428719660576,99758.57810042318,8
1243.4416763508348,97538.3278533311,1226.181918273704,98001.44668914707,1
1201.7083157745749,99065.48583916934,1189.2241084636544,99529.43065277298,7
1207.2309533106898,98977.70150878996,1195.321952123655,99310.15326736816,6
1250.4758410668987,97287.08634854516,1234.4285675622336,97784.82268759268,0
1212.6031748954606,98696.70871235868,1202.0507837547957,99087.5440653174,5
1160.4103948385637,99777.96933809535,1146.3774851055214,100325.8174143141,12
1164.1167523410295,99508.80000670176,1152.4038952176584,100038.0210184874,11
1221.5372122465678,98535.24438574312,1208.6705944904502,98877.99900140325,4
1174.553890484575,99123.04957948333,1159.8892225592529,99732.40175757164,10
1185.7993967776831,99090.60993127778,1167.722429808597,99507.07543569943,9
1203.5576415658536,98968.03318901132,1177.687615201541,99293.6924089139,8
1228.352370726236,98231.6828860808,1214.2864053907058,98701.36466642839,3
1213.6811955724595,98922.40992792108,1188.3417753483202,99122.58052687904,7
1216.9284121976818,98556.95996041982,1198.9041073196506,98932.21251762267,6
1218.974096816301,98446.3940809249,1207.7881485859957,98796.88141791098,5
1223.6566301674288,98256.1168033683,1215.3595952639448,98629.98279232909,4
1232.849550221567,97984.00498819898,1221.2179769950876,98433.17715216662,3
1237.874532893978,97577.0433643258,1226.0566444593912,98164.10383944756,2
1236.590380971685,98040.5786962573,1221.262818430128,98496.38323784599,2
1245.6621107285437,97386.58402932368,1231.8033841655638,97930.02865322834,1
1256.4294982974172,97152.37237769116,1239.294464461787,97671.22431258159,0
1242.9850217641106,97932.13129846573,1228.413632120812,98287.26919578112,1
1146.7728858179132,99912.18013739552,1137.061180378975,100496.8906787638,14
1153.4221728847635,99587.48806127124,1141.9699027323682,100212.74552046333,13
1161.1255487145793,99266.70585904074,1147.6431363567062,99874.30969463431,12
1163.1277458980744,99080.19152186804,1153.0555695782853,99617.30160707774,11
1252.2277520327675,97607.45575585216,1236.3385475482733,98069.41860447983,0
1175.5346978833732,98402.39695942712,1159.9966102397407,99249.79250780054,10
1187.953344433076,98289.89908585406,1168.2327019627733,98925.33629749223,9
1194.8451086167954,98036.49840387765,1176.5172891091795,98615.13836601352,8
1197.7617068860748,97511.75265518585,1183.8445207434788,98264.14772524254,7
1203.2114544645888,97582.918603071,1191.8612624567816,97964.69314148313,6
1206.4205895202413,97339.88104255489,1198.0384407841552,97752.18995810869,5
1210.000142031997,97352.64592438083,1202.4478003039396,97564.73932581404,4
1212.057472220815,97079.72229959189,1205.8902730247435,97373.3841049569,3
1214.3954294380462,96969.909142665,1209.2170175351378,97265.01540245271,2
1231.0250551138715,96941.07561128552,1214.7797376649942,97136.64680409562,1
1236.319914917724,96312.70771216085,1220.7596027444908,96931.21213801681,0
1155.9153654987645,100035.64256039532,1140.5706462728772,100550.95326894763,14
1164.8894827567617,99907.63894825352,1147.9305903871777,100332.89077227317,13
1172.671381158259,99521.7311903367,1156.0745067539387,100078.08339128907,12
1177.7936042247634,99395.97360689646,1163.4838088245072,99830.13636158264,11
1192.4096448148189,99207.00371709451,1172.7358956906735,99613.5980045953,10
1193.3612879035884,99091.82848279474,1180.2250801716382,99424.83518907518,9
1194.952252642407,98884.90954936402,1186.2376341487675,99220.2893092973,8
1202.52356173004,98585.65518486356,1192.2080702631235,99033.07410820267,7
1220.4086915666903,98296.11241549213,1200.731087731509,98813.1018699218,6
1224.092066469443,98080.69765980926,1207.0675720624336,98587.84065846475,5
1150.749107495246,100285.86682301266,1141.1738072216128,100690.41658402678,14
1229.9861050458414,97621.46910790668,1214.3925354908843,98293.76878348713,4
1233.4795199050711,97513.71190995404,1222.097988943417,98019.52925560513,3
1236.7333694124775,97337.84313172204,1228.9399504799046,97769.96684497684,2
1239.478443123243,97139.38599501876,1232.7539007912153,97538.62156088215,1
1157.328889637883,100062.24452797156,1146.2697056422737,100484.24300921563,13
1242.3745806770794,96822.56342077703,1236.4104036327426,97286.99471307572,0
1152.9538258274742,100060.99011396768,1142.302806351341,100641.5232683818,15
1160.7744279309898,99910.2757855545,1151.2399702684866,100278.91777792686,12
1162.0920967883887,99854.18697123828,1148.5855846029137,100378.72915197127,14
1171.1509398193002,99780.5250814257,1155.5102341112756,100148.24839836734,13
1176.282329449197,99386.50807806756,1162.2610752934097,99871.62800073037,12
1182.3086838474478,99187.35065215285,1168.9575751463617,99653.91217937041,11
1164.579429192232,99417.49071968468,1155.879722555364,100034.49486121148,11
1191.2024018995137,98919.12209708872,1176.6072903607696,99425.53857599462,10
1171.8301901059865,98989.38190127476,1161.0524088724674,99733.05195149963,10
1196.5057169884087,98761.77057282825,1183.4900144007736,99207.05529631261,9
