Tool Group,Tool ID,LotID,Time In,Time Out,Input 1,Input 2,Output,Failed
Diffusion,0,1,607,1171,1019.2833054884725,50.87626238635365,0.5298592796279704,False
Diffusion,0,1,1237,1725,1042.8708692051284,51.48012704133281,0.5673531794999145,False
Diffusion,1,6,1417,1944,1033.2628488720509,50.098375952434026,0.5499825318043826,False
Diffusion,2,11,1662,2142,1026.542029588044,50.746640753807895,0.5406801266833774,False
Diffusion,0,10,1845,2384,1048.7624430091366,52.493982101574595,0.5803306121647005,False
Diffusion,1,11,2206,2604,1071.573960989843,51.02323804461399,0.609889882212608,False
Diffusion,2,15,2278,2809,1049.4146083875705,51.88601007945614,0.578823179831846,False
Diffusion,0,18,2423,2867,1075.1242661702383,54.612818205023174,0.63553515834948,False
Diffusion,1,24,2682,3118,1084.103863900129,51.70776871728034,0.6316908605389504,False
Diffusion,2,26,2864,3367,1072.9079997840054,52.51653062395452,0.6181708309515683,False
Diffusion,0,23,2923,3386,1119.0114409531432,55.369570961983484,0.7137146990773775,False
Diffusion,1,28,3118,3630,1100.4632785745403,52.12563982808774,0.6590458663026035,False
Diffusion,2,32,3367,3831,1089.5946132419904,52.9762930072687,0.6469639620950902,False
Diffusion,0,35,3432,3907,1148.0808412022927,55.95605618799364,0.7678204439439528,False
Diffusion,1,26,3630,4159,1123.9606784689463,53.002608422268345,0.7012565903584279,False
Diffusion,0,28,3907,4232,1164.992596348205,57.07449378830968,0.8100355135457573,False
Diffusion,2,36,3831,4363,1140.3857576201024,54.554746045184366,0.7403946476455779,False
Diffusion,1,32,4159,4575,1133.5715404344755,53.49638641925901,0.7201825656462644,False
Diffusion,0,35,4232,4778,1180.565823526142,57.47496107357148,0.8418418265420342,False
Diffusion,2,42,4363,4782,1162.2691105447168,56.63977662486874,0.799730521080837,False
Diffusion,1,39,4575,5141,1147.0042640428342,55.138416293803765,0.7569928383769449,False
Diffusion,2,50,4782,5274,1226.1535205950822,57.48723676010522,0.9189343809145385,False
Diffusion,0,45,4778,5311,1197.5889008689358,58.290936119917205,0.8831646896774938,False
Diffusion,1,49,5141,5607,1183.2305441295184,55.05886014116775,0.815080635888074,False
Diffusion,0,45,5375,5935,1247.1360461915933,59.00053676550917,0.9803194374113283,False
Diffusion,1,57,5652,6282,1194.7259155035329,55.73981105041256,0.8419947428918135,False
Diffusion,2,53,5778,6285,1242.6414662923396,58.59236123500664,0.9653028920581261,False
Diffusion,0,58,5996,6569,1286.4915384500732,60.3464060330759,1.0752066640887485,False
Diffusion,2,60,6285,6701,1285.946036767744,58.7056566109035,1.0416783933033138,False
Diffusion,1,61,6282,6702,1211.6217810364783,56.62996675351719,0.8818131119713449,False
Diffusion,1,69,6752,7207,1219.877128067832,57.559056986402815,0.9094601806443214,False
Diffusion,0,67,6733,7252,1306.5411220459225,61.48296264317803,1.135717310104912,False
Diffusion,2,72,7074,7462,1316.849863181262,59.394426068100955,1.1085271875631761,False
Diffusion,0,67,7322,7660,1331.3649929732333,62.392462485301934,1.2020902798686721,False
Diffusion,1,71,7251,7719,1231.7896264135613,58.340939920962256,0.9423988758358549,False
Diffusion,0,75,7660,8018,1358.7977521716525,63.20068183570782,1.2727780031204978,False
Diffusion,2,72,7527,8023,1352.510464119126,60.29079712989756,1.1900563750348931,False
Diffusion,0,79,8058,8603,1375.216609704659,64.0215892726367,1.325423221449418,False
Diffusion,2,80,8446,8884,1390.1166930880122,60.86921422451732,1.269941465947665,False
Diffusion,1,84,8318,8895,1280.7240925019116,58.58561322024686,1.0304826869936412,False
Diffusion,0,79,8668,9200,1424.912643093326,64.51934181487488,1.4321461201281203,False
Diffusion,2,89,8884,9346,1421.040218881792,61.55350875778225,1.3421616678058554,False
Diffusion,1,84,8959,9460,1327.1972902135274,59.28226256812432,1.1241644798928772,False
Diffusion,0,88,9200,9900,1461.9517551076453,64.91270474192024,1.513410561031232,False
Diffusion,2,94,9346,9925,1431.7214179930145,62.91138704206993,1.3980711286077523,False
Diffusion,1,100,9607,10115,1362.2916356938458,60.54267477379745,1.2130241866744953,False
Diffusion,0,100,10182,10690,1488.5879618668969,65.22789864180245,1.5734787398532,False
Diffusion,1,105,10304,10787,1385.9716413512847,60.84866348710519,1.2621017063125368,False
Diffusion,0,111,10937,11463,1534.5228294127985,66.87241441802513,1.717037090325288,False
Diffusion,0,113,11675,12101,1569.6072445837235,67.50562032123996,1.8079918993276163,False
Diffusion,1,119,11964,12437,1416.3647196198056,61.30746092323858,1.32748688937299,False
Diffusion,0,122,12262,12725,1603.3600298956765,69.47188821788134,1.9515236417882795,False
Diffusion,2,118,12298,12823,1476.5242410811175,64.03144970010072,1.5131988967361898,False
Diffusion,1,119,12501,12921,1431.1741486482526,61.88289935011254,1.3689867295512568,False
Diffusion,2,126,12823,13287,1492.662990342486,64.49727853885793,1.5576653571220915,False
Diffusion,0,125,12725,13191,1641.6385377800107,70.58151192700242,2.0750041759245033,True
Diffusion,1,122,12921,13393,1466.8747473730623,64.06390167322519,1.4963263547615224,False
Diffusion,2,127,13287,13677,1501.720337564875,65.44583400634168,1.605366924739106,False
Diffusion,1,126,13393,13813,1485.912810341952,64.77520893701114,1.5538936640504661,False
Diffusion,0,128,13291,13830,1026.8934558111623,50.56025976976336,0.5409261274238429,False
Diffusion,2,127,13743,14183,1557.8628166996111,66.40705185765668,1.7450772295655308,False
Diffusion,1,133,13813,14403,1508.4949278561805,65.37058015924227,1.6156420993016039,False
Diffusion,0,139,14051,14556,1052.310961722483,52.2373619259481,0.5847295986938695,False
Diffusion,2,141,14183,14610,1593.525627017102,68.61936088119776,1.897685536316936,False
Diffusion,1,137,14403,14781,1575.5021049391223,66.15466053685519,1.769661224037796,False
Diffusion,0,144,14556,15018,1128.0811590260757,52.40442967012967,0.7036749800385191,False
Diffusion,2,139,14625,15196,1621.2192768206244,68.93788447095932,1.9650390331102516,False
Diffusion,1,141,14781,15262,1615.7109102999384,67.44635173224003,1.895030885621691,False
