Tool Group,Tool ID,LotID,Time In,Time Out,Input 1,Input 2,Output,Failed
Diffusion,0,2,594,1028,1152.9372932518074,48.58607033820896,0.5096195621942982,False
Diffusion,1,3,746,1211,1004.0644265863867,52.103468520268386,0.5026226787172979,False
Diffusion,1,8,1371,1795,1005.9551488466578,54.44544441022441,0.5080041985809455,False
Diffusion,0,3,1282,1839,1164.0841680663925,52.23355960455815,0.572394282467908,False
Diffusion,2,6,1544,1958,1019.8045421908707,51.31374793143234,0.5070971706821213,False
Diffusion,1,10,1795,2210,1058.8109075002583,53.00671485913178,0.5321092581796728,False
Diffusion,0,16,3030,3531,1171.46274733841,52.41014508926749,0.5788828621783673,False
Diffusion,0,18,3675,4035,1179.4311710560078,52.369064100520625,0.5816956730205408,False
Diffusion,1,22,3833,4357,1173.0113072330694,52.5087331205928,0.5814365713937858,False
Diffusion,1,28,4370,4716,1233.1376832400051,53.89513301974163,0.6443207305236831,False
Diffusion,0,26,4219,4758,1236.1596145574074,54.69282724486551,0.6669130915288074,False
Diffusion,2,24,4317,4828,1026.8640847986117,50.89751041914168,0.5081626728263307,False
Diffusion,0,22,4758,5137,1243.350958427011,55.955135275410264,0.706179835546351,False
Diffusion,1,25,4716,5286,1287.5636570874967,55.01008648301447,0.7122652094544353,False
Diffusion,2,29,4828,5346,1036.5516607965806,51.496026259792224,0.513588536485326,False
Diffusion,0,30,5137,5611,1249.856795999921,55.92507745214339,0.7106521451237904,False
Diffusion,1,32,5286,5817,1291.74424242681,55.601234174329264,0.7342839679023785,False
Diffusion,2,35,5346,5844,1051.6094742793787,49.93210609396841,0.5102456368760252,False
Diffusion,0,31,5611,6235,1258.4018883640024,56.36486472008686,0.7303958745263575,False
Diffusion,1,38,5817,6263,1295.8653848891395,55.988778120351924,0.7502055315193291,False
Diffusion,2,40,5844,6300,1086.9658484570898,52.67851314937489,0.5432759997536768,False
Diffusion,1,45,6263,6732,1377.2050585051634,53.99146635190035,0.7354666119599652,False
Diffusion,0,43,6235,6762,1269.42110984292,56.30593976501278,0.7380813625772046,False
Diffusion,2,41,6300,6862,1106.5170654292606,50.934352494998166,0.5322915732060327,False
Diffusion,1,44,6732,7251,1379.3271369684405,54.821396075950034,0.7706197634103,False
Diffusion,2,40,6862,7269,1332.4127679755234,49.28050709414187,0.5438382446225157,False
Diffusion,0,38,6762,7308,1330.9227245907578,57.740609518992265,0.8434818266421868,False
Diffusion,2,53,7269,7692,1346.7563806350502,51.13045607678112,0.6117871384388374,False
Diffusion,0,54,7308,7758,1387.4284350440362,59.42694118702283,0.9731016830529798,False
Diffusion,1,50,7251,7773,1432.7692146041588,55.832219605244994,0.855230112830491,False
Diffusion,0,58,7758,8169,1389.6019458267608,61.20417612248279,1.0543260104992236,False
Diffusion,2,57,7692,8174,1449.0854819770211,51.07109245964329,0.6419326214605251,False
Diffusion,1,60,7773,8237,1462.543012126513,58.32336244924795,1.0048173856991767,False
Diffusion,2,63,8174,8542,1467.4780542715796,53.013874380068046,0.7426756627171911,False
Diffusion,0,50,8169,8619,1446.46364561091,62.64221932638152,1.2044729492414539,False
Diffusion,1,68,8237,8623,1510.800826454483,60.06853639275474,1.1541817685307785,False
Diffusion,2,58,8542,9098,1513.795047727166,53.38854149048816,0.7868051738853457,False
Diffusion,1,60,8623,9128,1549.3332396660587,62.23101659831806,1.3339143136046756,False
Diffusion,0,57,8619,9180,1499.5391364841917,62.76477251646803,1.291245946718115,False
Diffusion,1,70,9128,9472,1602.3662112558343,62.67897158577329,1.4414687472808216,False
Diffusion,2,67,9098,9525,1542.2549733480485,53.41409600605492,0.8040204714257746,False
Diffusion,0,71,9180,9618,1504.8338714378,64.21481286865155,1.3825248525584644,False
Diffusion,1,63,9472,9907,1637.7626560497156,62.960386634335336,1.5147725163219816,False
Diffusion,2,68,9525,9978,1612.8633867736105,54.75331884629176,0.9298681445420665,False
Diffusion,0,73,9618,10090,1542.4314282901387,64.5261910150751,1.464350600751617,False
Diffusion,1,78,9907,10351,1666.7778111907699,68.59324133560031,1.9817671537468438,False
Diffusion,0,81,10090,10536,1610.9362231901098,64.23314307025973,1.5605390247773439,False
Diffusion,2,79,9978,10603,1645.079749075404,54.6062832212951,0.9421933437955821,False
Diffusion,2,89,10603,10975,1657.0359503391126,55.02130253866241,0.9791447066244557,False
Diffusion,1,71,10351,10877,1669.1407138115915,71.86637287506876,2.238997086350021,True
Diffusion,0,88,10536,11148,1654.1748457782517,63.33862783858504,1.5674639540399573,False
Diffusion,2,73,10975,11438,1813.8554730324258,56.97782058506268,1.2606878471874405,False
Diffusion,1,91,10977,11525,1005.5614452214569,49.49794944133687,0.5009076924612412,False
Diffusion,0,96,11148,11681,1659.5103066635793,63.572649773467376,1.5930229456928489,False
Diffusion,2,92,11438,11804,1841.4089991234878,59.58535664382799,1.5203885063853475,False
Diffusion,1,97,11525,11975,1110.941212134071,51.43424010745437,0.5395663886628862,False
Diffusion,0,98,11681,12214,1686.970242114624,63.93464223271108,1.6645520761222006,False
Diffusion,2,95,11804,12280,1849.0230889052013,60.18387567271414,1.5840905211560916,False
Diffusion,1,89,11975,12459,1174.4299388727763,51.43110648329317,0.5619092971588899,False
Diffusion,2,88,12280,12719,1868.4566122582064,60.67046458216437,1.6539177783112167,False
Diffusion,0,101,12214,12728,1699.5386887504837,62.63729935926212,1.5848040963168906,False
Diffusion,1,91,12459,12933,1227.4653266415464,52.0492210149744,0.595492054214184,False
Diffusion,2,96,12719,13158,1961.7022242504358,61.15489739979179,1.8253381055992266,False
Diffusion,0,104,12728,13239,1729.1061261040445,62.87091841264331,1.6479930270912515,False
Diffusion,1,107,12933,13477,1246.5005262705486,52.391463074648215,0.6123907003705422,False
Diffusion,0,111,13239,13674,1739.4020369753787,62.998076077052225,1.6740590375507316,False
Diffusion,2,109,13158,13710,2076.1804289355805,62.98313493943463,2.1912685107840657,True
Diffusion,1,105,13477,14057,1272.3854827520356,53.71792586226285,0.662855404976101,False
Diffusion,0,112,13674,14087,1791.3430838989707,61.867615015665464,1.656409774500734,False
Diffusion,2,106,13810,14163,1044.0714343884292,50.31004979778252,0.5104793975874506,False
Diffusion,2,114,14163,14566,1084.9192835950466,50.21258280627926,0.5193131503119525,False
Diffusion,1,110,14057,14613,1272.1934579257766,55.18357299548997,0.7064103183462797,False
Diffusion,0,116,14087,14653,1800.5378734386115,64.78890634099251,1.9257786521681641,False
Diffusion,2,119,14566,15014,1113.3910802778712,51.52358237450513,0.5415258991503776,False
Diffusion,1,122,14613,15021,1274.813501570371,56.27070985883638,0.7415972268198799,False
Diffusion,0,123,14653,15060,1806.5124703436124,65.92982462788315,2.0378231964532887,True
Diffusion,2,124,15014,15456,1119.9512241037582,51.92992813114053,0.5491968084061133,False
Diffusion,1,125,15021,15575,1349.6033273491778,58.1806783544862,0.8794225367204704,False
Diffusion,0,107,15160,15676,1006.5236609193436,49.78081584687721,0.5012034440545323,False
Diffusion,1,126,15575,16019,1357.2726924039493,60.41790621885937,0.9781141433700205,False
Diffusion,2,111,15456,16064,1193.3985109921075,54.498937499292644,0.6332909978738751,False
Diffusion,0,128,15676,16300,1014.9431764866782,50.75022533400472,0.5043379567103833,False
Diffusion,2,136,16064,16487,1197.2783064491512,54.597410596624414,0.6380614751205127,False
Diffusion,1,131,16019,16502,1381.996157549345,62.5765286192743,1.1045735685472975,False
Diffusion,2,141,16487,16872,1284.3735089556171,54.3099367139916,0.6881708856441328,False
Diffusion,1,144,16502,16897,1470.1158446677582,62.27548387903057,1.2204629627493253,False
Diffusion,0,137,16300,16976,1037.9440065715778,51.95491307007066,0.5162029401791622,False
Diffusion,1,142,16897,17257,1510.3587249959323,61.874515906040536,1.256471421617971,False
Diffusion,2,145,16872,17285,1317.7386217821263,59.382273044544775,0.8896549840636596,False
Diffusion,0,143,16976,17424,1139.678111461068,54.12357190550544,0.591370203733918,False
Diffusion,2,124,17285,17776,1344.5266725680572,59.55802028135845,0.9278860725076987,False
Diffusion,1,148,17257,17792,1544.3469706175595,62.10014894334625,1.3186507436441,False
Diffusion,0,150,17424,17850,1180.5096273457793,53.139150650759106,0.5973330173758906,False
Diffusion,1,157,17792,18235,1633.3024572610454,63.54211796403987,1.5489355563943248,False
Diffusion,2,152,17776,18409,1418.2562209750486,58.423778837167916,0.9625065525180043,False
Diffusion,0,159,17850,18503,1196.8049762012413,52.51785543115148,0.5926522899882987,False
Diffusion,1,158,18235,18685,1645.8041047520076,61.552837297572424,1.426652129149665,False
Diffusion,0,161,18503,18969,1253.7064744609606,53.81757437515686,0.654633975978272,False
Diffusion,2,126,18409,19022,1451.6498907065916,58.57493592773726,1.0058110659234254,False
Diffusion,1,151,18685,19196,1710.3361701429758,67.91198089180001,2.019097092353879,True
Diffusion,2,164,19022,19542,1467.5509044925197,61.876522980912036,1.195556623339273,False
Diffusion,0,154,18969,19564,1321.3856668940869,55.210258940128945,0.7436541925752171,False
Diffusion,1,156,19296,19804,1027.8303775213644,52.805548763353286,0.5153577853433446,False
Diffusion,2,166,19542,19901,1518.9641232859592,62.45811353772936,1.3027724043473787,False
Diffusion,0,131,19564,20065,1372.304689264191,55.08557214161386,0.776340872170309,False
Diffusion,1,170,19804,20354,1043.1950479081925,53.871848453965995,0.5291387530321573,False
Diffusion,2,165,19901,20449,1584.8659706079993,61.530921819818396,1.3403801410340996,False
Diffusion,0,144,20065,20534,1419.0249704635148,55.227128886360504,0.8167458788629254,False
Diffusion,2,168,20449,20829,1626.4274043047885,60.99497579497075,1.3611836926415481,False
Diffusion,1,137,20354,20963,1087.88951411532,55.06537789990752,0.5690707606714112,False
Diffusion,0,177,20534,21013,1428.5101095907978,55.28852891886272,0.8266245276057045,False
Diffusion,2,179,20829,21265,1635.0297656322691,62.10540544930293,1.4503870546715407,False
Diffusion,1,180,20963,21362,1124.0264274545784,54.500278930881976,0.5869908966609971,False
Diffusion,0,176,21013,21409,1489.9973375019829,56.61870950383623,0.9428862336207329,False
Diffusion,2,181,21265,21689,1659.9547432950033,63.324987288977766,1.5755728039177415,False
Diffusion,0,150,21409,21826,1558.669663024259,58.01494529341801,1.0880333707253285,False
Diffusion,1,148,21362,21935,1139.953792641746,55.296676163016265,0.6106822321347067,False
Diffusion,2,178,21689,22262,1671.7374054300174,62.02378684334182,1.497545728276536,False
Diffusion,1,186,21935,22310,1171.7425550631394,56.97468497294304,0.6683521701113282,False
Diffusion,0,157,21826,22349,1557.8960411989115,58.17420410105874,1.0968955564077327,False
Diffusion,0,192,22349,22752,1597.7163173741324,58.435221180915775,1.1554391665736434,False
Diffusion,1,190,22310,22778,1178.2770998649873,57.5312024773853,0.686229433979964,False
Diffusion,2,187,22262,22796,1682.6295675238714,64.87747604189597,1.7291516532323623,False
Diffusion,1,161,22778,23213,1183.7475994068516,58.024137216761304,0.702467606765575,False
Diffusion,0,193,22752,23214,1617.6164652169048,60.46994025603484,1.313789012362476,False
Diffusion,2,196,22796,23321,1778.0662852239275,65.19994793209572,1.9224085371076238,False
Diffusion,0,198,23214,23736,1624.5819611272561,61.14638055861697,1.3691242209049228,False
Diffusion,1,201,23213,23789,1199.0239727855544,58.154230403591434,0.721292968060172,False
Diffusion,2,200,23321,23867,1780.8276019608957,65.68581516489762,1.9693488601409572,False
Diffusion,0,164,23736,24221,1723.9687911762321,61.450868604875495,1.5274233425774957,False
Diffusion,1,204,23789,24319,1238.5079943507023,58.74241729591002,0.778939601788779,False
Diffusion,2,203,23867,24357,1862.3352113545764,66.20870917341821,2.167204340379162,True
Diffusion,0,166,24221,24608,1785.8877045566887,61.245202493505154,1.5954264666694347,False
Diffusion,1,206,24319,24737,1245.503495985138,59.86479338492665,0.8192612896091183,False
Diffusion,0,211,24608,24910,1837.181569654304,63.04477575367576,1.8289939722075337,False
Diffusion,2,207,24457,24955,1040.7715577747015,52.09576859408358,0.5180591121094569,False
Diffusion,0,213,24910,25170,1910.9299411248167,62.84824128992555,1.9235474834788266,False
