Tool Group,Tool ID,LotID,Time In,Time Out,Input 1,Input 2,Output,Failed
Epi,0,1,221,252,1134.47354042873,100888.11965649285,2.8916422498674126,False
Epi,1,2,224,258,1132.926660989407,101209.726646549,2.914412754917992,False
Epi,0,3,269,295,1146.3392340014382,100841.66684104381,2.759013059327778,False
Epi,0,4,495,522,1157.7260028798037,100501.30216342822,2.6146249995969146,False
Epi,0,5,704,733,1166.8614937941106,100423.44102045315,2.5054000777851146,False
Epi,0,6,743,770,1171.6945559508288,100012.39790507508,2.4157893071053973,False
Epi,1,7,744,773,1140.664466197189,101123.35124325953,2.8294357510602364,False
Epi,2,8,750,782,1127.3576809361646,101067.32851134051,2.973011439135781,False
Epi,0,9,967,1000,1176.1126002225558,99867.49176781016,2.349501300150615,False
Epi,0,10,1212,1246,1180.8430784380803,99910.23305321917,2.297696682439736,False
Epi,0,11,1282,1311,1191.9577105061487,99328.68567057107,2.0933788431040363,False
Epi,0,12,1332,1360,1199.6870782314686,99170.0143243165,1.9747565622303702,False
Epi,0,13,1469,1500,1206.3388304292246,99009.4457922601,1.8663502236413974,False
Epi,0,14,1503,1533,1214.017278805501,98558.28125816063,1.68973743481565,False
Epi,1,15,1530,1559,1152.5662712987848,100785.55607389542,2.6876016068510857,False
Epi,0,16,1550,1579,1224.785861552703,98183.77443612242,1.473993683409304,False
Epi,0,17,1632,1664,1230.1198434931903,97992.7185685511,1.3613021329442354,False
Epi,0,18,1727,1757,1237.6900938904685,97926.68667788351,1.244119780055776,False
Epi,0,19,1940,1970,1245.5619284042803,97717.0575160357,1.0869157443501922,False
Epi,1,21,2062,2094,1161.2405483814487,100623.96363716897,2.582183827591806,False
Epi,0,20,2025,2053,1247.6780201914255,97380.16438757663,0.9721744050648544,True
Epi,0,22,2247,2278,1138.2967102486402,100806.69482720805,2.846985145997266,False
Epi,0,23,2293,2322,1148.894472827946,100485.55980946953,2.7141212226651774,False
Epi,0,24,2339,2370,1153.325334121892,100248.01974662783,2.648945672868918,False
Epi,0,25,2403,2432,1158.0110663933378,99937.2831084209,2.570744530318092,False
Epi,0,26,2539,2569,1164.33691074631,99451.41120824144,2.4480635223469998,False
Epi,1,27,2553,2584,1170.5906074006004,100375.1704780861,2.4591452166982046,False
Epi,0,28,2577,2608,1167.8096185507138,99340.62155148499,2.3929884836083697,False
Epi,0,29,2679,2709,1179.5641034897671,99210.7494046788,2.2313192552991152,False
Epi,0,30,2729,2759,1184.275882248608,98819.02942293735,2.116889642051342,False
Epi,0,31,2886,2914,1186.102955016163,98473.82269375288,2.0387728048437497,False
Epi,0,32,2966,2997,1190.0023640131722,98411.15845673656,1.9771454453369564,False
Epi,1,33,2991,3021,1178.7441688401657,99857.87673120973,2.317198994197225,False
Epi,2,34,2996,3023,1133.487845338607,100972.13859404651,2.9044476537025083,False
Epi,0,35,3015,3045,1198.7513630625506,98289.45394613639,1.8402786500163968,False
Epi,0,36,3103,3130,1204.8495368796791,98069.65747832468,1.7171730946319652,False
Epi,0,37,3163,3193,1214.9426606067636,98003.43101122127,1.568075191963283,False
Epi,1,38,3193,3222,1191.4475180590666,99735.60654225295,2.151657181787389,False
Epi,0,39,3260,3290,1226.527639702555,97752.18989337204,1.3559081068434202,False
Epi,1,40,3272,3299,1194.8434940856148,99037.75963415352,2.0156854761924485,False
Epi,0,41,3422,3451,1232.2375082579056,97522.40631849803,1.2231328539825679,False
Epi,0,42,3644,3674,1235.2624198937865,97275.95570042616,1.1195589432277409,False
Epi,1,44,3712,3742,1207.507753391801,98862.62421298832,1.8273566520630975,False
Epi,0,43,3710,3743,1244.4540984655953,97049.18091878881,0.9295379485480693,True
Epi,0,45,3844,3874,1127.150422071246,100985.84578847184,2.974146999102531,False
Epi,0,46,4015,4045,1134.1715981854818,100642.29581624448,2.8875694505246,False
Epi,0,47,4076,4107,1137.481340359338,100207.85730390435,2.830151743433341,False
Epi,0,48,4183,4212,1148.554617828007,99757.62921838883,2.668494134585287,False
Epi,0,49,4234,4264,1159.8463863763209,99708.7012528851,2.5285724402007497,False
Epi,0,50,4320,4350,1166.1237039215098,99473.88372416687,2.4286346459149537,False
Epi,0,51,4713,4742,1173.7896353796457,99491.46309973922,2.336917559522648,False
Epi,0,52,5040,5069,1181.2171369396508,99362.08474373061,2.230252342076993,False
Epi,1,53,5056,5087,1218.5894958207152,98653.01302679311,1.6480791926441816,False
Epi,0,54,5094,5124,1189.7640559934744,99003.68318667934,2.0746611918149047,False
Epi,1,55,5100,5132,1221.1141609973831,98224.83868381022,1.531337107853909,False
Epi,2,56,5108,5138,1147.9897615973657,100871.73358613672,2.7418807369713805,False
Epi,0,57,5128,5160,1202.031309417987,98868.8429101773,1.8981584387770858,False
Epi,0,58,5253,5283,1206.0329600438733,98641.49702922093,1.8082860182563156,False
Epi,1,59,5267,5295,1225.458543079434,98029.86170094984,1.4321890226585645,False
Epi,0,60,5610,5639,1218.3794012811081,98248.73323246451,1.5724894927966062,False
Epi,0,61,5933,5963,1228.6989761692882,98268.01089274157,1.4396955419478463,False
Epi,1,62,5942,5972,1241.0261251773152,97532.12614944135,1.1036350229535006,False
Epi,0,63,6003,6032,1235.975981430131,98040.31102957933,1.2931329286641478,False
Epi,0,64,6047,6081,1246.481131149202,97706.65768770248,1.0717463176176916,False
Epi,0,65,6122,6153,1258.479148064942,97413.7411790231,0.8300881401229985,True
Epi,1,66,6137,6169,1246.5943968500142,97351.93060422462,0.9799723228033832,True
Epi,0,67,6364,6394,1128.5532223648358,101068.8799746249,2.960019827789398,False
Epi,0,68,6441,6470,1140.9288439479012,100773.70364754173,2.8166099307118135,False
Epi,1,69,6456,6485,1130.7026740932008,101067.13645674473,2.9366018339824485,False
Epi,1,71,6530,6559,1134.1919524527584,100954.84984209508,2.896343713549518,False
Epi,0,70,6529,6560,1150.336457817747,99965.00661032826,2.6637030098461696,False
Epi,0,72,6691,6722,1156.364768302449,99765.01814295762,2.5755212394476117,False
Epi,0,73,7081,7110,1167.6567737254031,99323.13121763951,2.392851250591188,False
Epi,0,74,7225,7258,1179.560287180539,99077.31583145025,2.213589081871231,False
Epi,0,75,7297,7327,1194.8921148899992,98899.52232502234,1.9938985590677205,False
Epi,0,76,7532,7560,1208.4060167047862,98740.56869178267,1.7950079557956153,False
Epi,0,77,7566,7592,1215.052425732888,98548.65435709362,1.6744828287063924,False
Epi,1,78,7582,7614,1139.7434131598095,100634.84786317444,2.824632189106817,False
Epi,0,79,7681,7714,1222.6500167679742,98507.59915877147,1.567682590531785,False
Epi,0,80,7730,7760,1226.9042912081868,97747.28065053296,1.3496319605581877,False
Epi,0,81,7792,7820,1237.0670125734978,97614.09349480539,1.1785728213812106,False
Epi,0,82,7855,7885,1241.7562594141045,97300.87503886319,1.034596283358038,False
Epi,1,84,7999,8030,1148.748718409532,100400.12985870919,2.7110542727173246,False
Epi,2,85,8006,8037,1157.996854210567,100570.49498672034,2.6156566789280253,False
Epi,0,83,7910,7940,1249.8411800473139,97103.36392250142,0.867563769819216,True
Epi,0,86,8114,8144,1129.132450201709,101184.46978320327,2.9550359282988756,False
Epi,0,87,8200,8230,1136.9618478971397,101134.34390657442,2.8697570281736193,False
Epi,0,88,8271,8300,1142.1929539526939,101047.08652854024,2.811034980860566,False
Epi,1,89,8279,8309,1154.9680917102987,100075.31231725887,2.617531331399002,False
Epi,0,90,8424,8453,1146.282597365576,100887.7787680012,2.761316632704126,False
Epi,0,91,8667,8695,1152.2965394484584,100486.22177673926,2.675461884611701,False
Epi,1,92,8679,8709,1169.5185261923318,99906.15828824478,2.431617703183967,False
