Tool Group,Tool ID,LotID,Time In,Time Out,Input 1,Input 2,Output,Failed
Etch,0,2,452,511,122.60782432515961,2.1642604878571947,2.8140747577521283,False
Etch,1,3,545,601,110.21239299880108,2.0229657433299963,2.918039949544861,False
Etch,0,1,545,607,129.7704391832269,2.1450464783677723,2.7564664651268513,False
Etch,0,2,748,811,139.99320681217483,2.269360524431636,2.665653999735867,False
Etch,1,4,765,823,121.51196288839813,2.109069615596698,2.824963186317526,False
Etch,0,5,993,1056,150.74424905365447,2.3888037554256525,2.5667580349607944,False
Etch,1,8,1003,1060,141.76122907035347,2.2296067146707914,2.653685546658618,False
Etch,2,7,1027,1084,121.8154810455264,2.1111946153294867,2.82243217548879,False
Etch,0,6,1056,1118,166.93480775953756,2.4401082677894097,2.4253782112570024,False
Etch,0,1,1177,1237,183.38797061110665,2.515092376721442,2.276677719311267,False
Etch,0,9,1271,1333,208.95473474842638,2.695681572635238,2.0283656782715367,False
Etch,0,6,1359,1417,223.25178002225286,2.870790317706207,1.8687455142680003,False
Etch,0,10,1472,1526,236.3332336549169,3.05520567837213,1.7098015772737225,False
Etch,0,11,1600,1662,250.68196221110614,3.1262555416814157,1.5614153300810578,False
Etch,1,9,1608,1668,158.484459986857,2.415284107489029,2.4992136088408765,False
Etch,0,12,1667,1725,256.38533806867235,3.2139734419887565,1.4853830724261181,False
Etch,1,13,1738,1795,177.80328720194333,2.593998946456786,2.313716894336036,False
Etch,0,1,1730,1797,268.84894707909757,3.355905745799849,1.328341146275764,False
Etch,2,10,1789,1845,142.11550925252536,2.2543301776174265,2.6491304890688085,False
Etch,0,15,1799,1862,284.1876766853836,3.4982443710669457,1.1383036269314668,False
Etch,0,14,1866,1922,288.7846047694621,3.6338029238201983,1.047820722905544,False
Etch,1,16,1918,1978,189.29887337128463,2.6979141675371405,2.1989318548963452,False
Etch,1,12,2039,2094,208.7171819536414,2.7517631531057924,2.020275580950245,False
Etch,0,6,1951,2011,302.5536815671464,3.797537690181751,0.8539155831796132,True
Etch,2,18,2060,2125,148.63167697428017,2.30515110125694,2.591450714691169,False
Etch,0,13,2120,2180,130.1343210096127,1.9985319779592374,2.7589695620160883,False
Etch,1,11,2148,2206,221.19700287608083,2.8178734900677003,1.897854308975572,False
Etch,0,15,2214,2278,159.8627920200237,2.003048162534997,2.5209147277551924,False
Etch,1,19,2272,2338,234.60968818276754,2.9381102408848814,1.7528412263286302,False
Etch,0,21,2331,2390,179.667436425819,2.2857485946998364,2.335813037622785,False
Etch,1,18,2360,2423,245.2162825153673,2.9666457087636977,1.6511768472274013,False
Etch,2,10,2389,2446,165.5776003950186,2.4719450999968533,2.4332935607933184,False
Etch,0,22,2543,2603,206.3619439157775,2.3556351259217423,2.1049545882165424,False
Etch,1,23,2560,2623,273.91601428875623,3.0098885475868644,1.3820423506904265,False
Etch,2,19,2601,2662,194.96820833305452,2.5698945454593694,2.16989347976729,False
Etch,0,11,2609,2671,239.80560938736366,2.5197556051212593,1.7953830813418667,False
Etch,1,24,2624,2682,277.76314962740656,3.115210388738986,1.3174667812237326,False
Etch,2,21,2662,2721,203.6108288531888,2.581483096674516,2.0939592939780147,False
Etch,0,26,2810,2864,258.23909139652733,2.6202654211439547,1.6167005725279333,False
Etch,1,15,2814,2872,287.47634641320036,3.168368449630252,1.212893538788692,False
Etch,2,25,2824,2884,242.60614211905633,2.74159453668158,1.7258968043130218,False
Etch,0,23,2864,2923,273.28601805692097,2.649746619635591,1.480011317595642,False
Etch,1,18,2872,2933,295.01367738074214,3.16714798685081,1.1441690388302614,False
Etch,2,27,2884,2938,253.9829411895506,2.9925826155604107,1.566034667530349,False
Etch,0,28,2923,2979,307.42307762350504,2.663409048584336,1.1810034541441368,False
Etch,0,29,3067,3126,316.4327162526514,2.8681259606844582,1.042965276077693,False
Etch,0,31,3153,3212,329.81599504184135,2.9353563369082636,0.9027676185302824,True
Etch,1,27,3177,3233,305.8485299082398,3.320268116440374,0.9942811149156587,True
Etch,2,32,3274,3334,277.9730026437723,3.1382950671447953,1.3088444048611592,False
Etch,0,33,3353,3412,125.39095826020697,2.1540763793314044,2.791773210468463,False
Etch,2,35,3374,3432,297.3891074671495,3.21685544140601,1.1066562725031566,False
Etch,1,26,3373,3436,115.50435343683796,2.0744668343123194,2.874533346916171,False
Etch,0,23,3412,3463,135.5887803957451,2.537066386984501,2.6817542039282825,False
Etch,1,36,3449,3510,141.71586300770727,2.20845603070032,2.65540447688175,False
Etch,0,37,3530,3594,150.32818619281153,2.5894678772358013,2.550334042462659,False
Etch,0,39,3617,3682,162.39242303771422,2.649485622615439,2.4392460552759423,False
Etch,1,28,3636,3693,156.96201215789674,2.2808692452890966,2.524360648724426,False
