Tool Group,Tool ID,LotID,Time In,Time Out,Input 1,Input 2,Output,Failed
Oxidation,1,2,258,447,1070.5306092598842,66.59559838911906,4.6298685954729875,False
Oxidation,0,1,252,539,1031.5402631369575,65.5874936108724,4.843801191155075,False
Oxidation,2,3,295,540,1052.341022505848,65.80823930273428,4.7385104364171555,False
Oxidation,1,2,511,743,1131.7811252676986,67.01846603865155,4.303162188443933,False
Oxidation,3,4,522,760,1034.7644881778335,65.41576837778675,4.8298958829352205,False
Oxidation,0,5,733,987,1052.9902591419336,66.51818433750773,4.720482206109404,False
Oxidation,3,8,782,997,1099.9004672816404,66.49910939962142,4.484530125699392,False
Oxidation,2,7,773,1022,1075.199317667862,66.39736285036066,4.611816368943519,False
Oxidation,1,6,770,1043,1147.5614140861132,67.89071801976048,4.178889191952683,False
Oxidation,0,9,1000,1266,1089.4862535395346,66.47807441244566,4.537651453850773,False
Oxidation,1,6,1118,1354,1175.5854915387877,69.16840190179795,3.947414166903606,False
Oxidation,2,10,1246,1467,1109.4403163304476,67.24532234996153,4.408482022400277,False
Oxidation,0,11,1311,1595,1139.6805606358369,66.79847215217747,4.2720887754158205,False
Oxidation,3,9,1333,1604,1108.833003717732,66.76950098328716,4.430089385127511,False
Oxidation,1,12,1360,1662,1219.1208034010651,69.8914027355739,3.649126470944789,False
Oxidation,2,13,1500,1733,1126.2398529350128,68.10713739666669,4.279799960088541,False
Oxidation,4,10,1526,1784,1010.5400201761913,65.40306094728862,4.947861736526394,False
Oxidation,3,15,1604,1794,1148.7008277176901,68.64478253327987,4.128668533080992,False
Oxidation,0,14,1595,1860,1182.241551374994,68.02815033516211,3.988038745940605,False
Oxidation,1,16,1662,1912,1270.2068475503627,71.3856078586071,3.2094656021640393,False
Oxidation,2,17,1733,1961,1181.1765493761977,69.27454155547485,3.9089919966739077,False
Oxidation,4,12,1784,2033,1039.3574790182583,65.77440256367657,4.803009139058085,False
Oxidation,3,18,1794,2053,1193.4466493871587,69.55914037307453,3.8194866225730637,False
Oxidation,0,13,1860,2115,1196.3645359173636,68.48603842204305,3.8831115961939995,False
Oxidation,1,15,1912,2208,1305.1956070297126,71.66567641210658,2.9726008366754644,False
